"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         215,      -3.539162384,      -1.014721638,      -1.530930058,       1.867381379,      -5.409779602
          0,           0,         216,      -3.538195166,      -1.017105562,      -1.530484652,       1.868178861,      -5.405815584
          0,           0,         217,      -3.537100689,      -1.019490453,      -1.530054474,       1.869117668,      -5.401777639
          0,           0,         218,      -3.535910458,      -1.022072664,      -1.529608921,       1.870161908,      -5.397674775
          0,           0,         219,      -3.534648021,      -1.024640492,      -1.529116474,       1.871287071,      -5.393529286
          0,           0,         220,      -3.533313274,      -1.027367179,      -1.528548819,       1.872477339,      -5.389345662
          0,           0,         221,      -3.531874343,      -1.030160886,      -1.527766707,       1.873771301,       -5.38513094
          0,           0,         222,      -3.530266778,      -1.032946616,      -1.526908627,       1.875245708,       -5.38089097
          0,           0,         223,      -3.528497656,      -1.035728932,       -1.52601911,        1.87689461,      -5.376631172
          0,           0,         224,      -3.526604064,      -1.038497446,       -1.52509528,       1.878672567,       -5.37234895
          0,           0,         225,      -3.524596975,      -1.041240867,      -1.524116095,       1.880564635,      -5.368052901
          0,           0,         226,      -3.522474265,      -1.043943937,      -1.523083437,       1.882575876,      -5.363734643
          0,           0,         227,      -3.520177143,      -1.046613065,      -1.521984092,       1.884774605,      -5.359408371
          0,           0,         228,      -3.517699482,      -1.049262257,      -1.520803684,       1.887168786,      -5.355068579
          0,           0,         229,      -3.515349298,      -1.051896616,      -1.519540234,       1.889408629,      -5.350710383
          0,           0,         230,      -3.513012125,      -1.054495454,        -1.5182085,       1.891699432,      -5.346334729
          0,           0,         231,      -3.510489066,      -1.057032924,      -1.516763662,        1.89424634,      -5.341947545
          0,           0,         232,      -3.507813591,      -1.059492358,      -1.515193721,       1.896938569,      -5.337545316
          0,           0,         233,      -3.505012016,      -1.061874599,      -1.513514761,       1.899716786,      -5.333128965
          0,           0,         234,      -3.502126887,      -1.064187761,      -1.511759064,       1.902531234,      -5.328699503
          0,           0,         235,      -3.499157291,      -1.066436225,      -1.509956111,       1.905396422,      -5.324258885
          0,           0,         236,      -3.496128969,        -1.0686149,      -1.508140447,       1.908296941,      -5.319824198
          0,           0,         237,      -3.493070739,      -1.070712578,       -1.50632797,       1.911210806,      -5.315387875
          0,           0,         238,      -3.489911841,      -1.072709171,      -1.504651508,       1.914225506,      -5.310944647
          0,           0,         239,      -3.486705944,      -1.074592614,      -1.503250236,       1.917285922,      -5.306496079
          0,           0,         240,      -3.483549935,      -1.076375487,      -1.502046867,       1.920279305,      -5.302044301
          0,           0,         241,      -3.480468847,      -1.078058406,      -1.500907561,       1.923177683,      -5.297592626
          0,           0,         242,      -3.477476492,       -1.07963126,      -1.499719653,       1.925969197,      -5.293142303
          0,           0,         243,      -3.474488945,      -1.081090092,      -1.498696375,        1.92875742,      -5.288695271
          0,           0,         244,      -3.471612032,      -1.082450572,      -1.497741373,       1.931428389,      -5.284252723
          0,           0,         245,      -3.468762846,      -1.083701086,      -1.496791656,       1.934087209,       -5.27981636
          0,           0,         246,      -3.465959047,      -1.084843994,      -1.495869978,       1.936743494,      -5.275387582
          0,           0,         247,      -3.463259239,      -1.085906641,      -1.494878101,       1.939326255,      -5.270967429
          0,           0,         248,      -3.460600676,      -1.086887816,      -1.493666029,       1.941887414,      -5.266558442
          0,           0,         249,      -3.458010829,      -1.087791885,      -1.492166201,       1.944386954,      -5.262161437
          0,           0,         250,      -3.455867514,      -1.088642948,      -1.490337795,       1.946383677,       -5.25777975
          0,           0,         251,       -3.45365633,      -1.089446619,       -1.48847884,       1.948548943,      -5.253414203
          0,           0,         252,      -3.451400716,      -1.090166984,      -1.486597424,       1.950800641,      -5.249062639
          0,           0,         253,      -3.449106016,      -1.090795523,       -1.48474137,       1.953105092,      -5.244725755
          0,           0,         254,      -3.446780951,      -1.091342888,      -1.482921929,       1.955445747,        -5.2404039
          0,           0,         255,      -3.444440247,      -1.091825185,      -1.481115199,       1.957808504,      -5.236097101
          0,           0,         256,      -3.442093319,      -1.092245661,      -1.479292767,       1.960187826,      -5.231805507
          0,           0,         257,      -3.439746906,      -1.092607055,      -1.477415762,       1.962578198,      -5.227529107
          0,           0,         258,      -3.437400227,      -1.092912605,      -1.475453059,       1.964979854,       -5.22326823
          0,           0,         259,      -3.435048715,      -1.093163718,      -1.473384615,       1.967395738,      -5.219022488
          0,           0,         260,      -3.432692244,       -1.09336785,      -1.471223169,       1.969822908,      -5.214791677
          0,           0,         261,      -3.430333922,       -1.09352821,      -1.469021132,       1.972255212,      -5.210575694
          0,           0,         262,      -3.427977597,      -1.093647534,      -1.466825208,       1.974687932,       -5.20637454
          0,           0,         263,      -3.425629103,      -1.093729417,      -1.464672027,       1.977114463,      -5.202187792
          0,           0,         264,      -3.423295952,      -1.093778316,      -1.462588638,       1.979526506,      -5.198015486
          0,           0,         265,      -3.420986068,      -1.093796294,      -1.460596511,       1.981916286,      -5.193857937
          0,           0,         266,      -3.418710107,       -1.09378382,       -1.45870392,       1.984272366,      -5.189715061
          0,           0,         267,      -3.416459519,      -1.093741951,      -1.456915312,       1.986606158,      -5.185586676
          0,           0,         268,      -3.414233776,      -1.093672579,      -1.455227757,       1.988918434,      -5.181473814
          0,           0,         269,      -3.412032227,      -1.093577937,      -1.453639513,        1.99120938,      -5.177376779
          0,           0,         270,      -3.409854476,      -1.093460971,       -1.45214997,       1.993478571,      -5.173293737
